                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.86892,                 1.4779,                0.62272,                 1.0367,                0.86979,                0.86528,                0.90581,                 0.6862,                0.87031,                0.85054,                0.89268,                0.61009,                0.91293,                 1.6286,                0.63067,                 1.0586,              0.0010298,              0.0010298,              0.0010298
                     52,                0.88719,                 1.4838,                0.63055,                 1.0498,                0.86454,                0.87582,                0.91078,                0.69376,                0.86307,                0.86557,                 0.8971,                0.61478,                0.90025,                 1.6539,                0.62586,                 1.0589,                0.00101,                0.00101,                0.00101
                     53,                0.88826,                 1.4808,                0.62744,                 1.0442,                0.86417,                0.88425,                0.91514,                0.70073,                0.86147,                0.86789,                0.90082,                0.61883,                0.90142,                 1.6486,                0.61642,                 1.0538,              0.0009902,              0.0009902,              0.0009902
                     54,                0.85869,                 1.4388,                0.60337,                 1.0314,                0.87399,                0.86557,                0.90984,                0.69717,                0.86888,                0.86101,                0.90055,                0.62869,                0.89915,                 1.6588,                0.62017,                 1.0631,              0.0009704,              0.0009704,              0.0009704
                     55,                0.86432,                 1.4247,                0.60098,                  1.033,                0.87578,                0.87547,                0.91793,                0.70458,                0.87185,                0.86615,                0.90594,                0.61867,                 0.8891,                 1.6022,                0.60378,                 1.0441,              0.0009506,              0.0009506,              0.0009506
                     56,                0.87241,                 1.4782,                0.61074,                 1.0412,                0.87005,                0.86813,                0.90926,                0.69717,                0.86624,                0.86507,                0.90269,                0.62452,                0.90245,                 1.6173,                0.61314,                 1.0613,              0.0009308,              0.0009308,              0.0009308
                     57,                0.87124,                 1.4499,                0.60509,                 1.0399,                0.85277,                0.88917,                0.91584,                0.69878,                0.87249,                 0.8499,                0.90356,                0.62462,                0.91206,                 1.6571,                0.62237,                 1.0606,               0.000911,               0.000911,               0.000911
                     58,                0.85352,                 1.4219,                0.59067,                 1.0298,                0.86501,                0.86756,                0.91324,                0.69339,                0.86036,                0.85635,                0.89891,                0.61007,                0.91052,                 1.6484,                0.62954,                 1.0673,              0.0008912,              0.0008912,              0.0008912
                     59,                0.85968,                 1.4432,                0.59253,                 1.0422,                0.87506,                0.87069,                0.91673,                0.70013,                0.86816,                0.86462,                0.90327,                0.61867,                0.90565,                 1.6188,                 0.6142,                 1.0723,              0.0008714,              0.0008714,              0.0008714
                     60,                0.86331,                 1.4197,                0.60812,                 1.0409,                0.87999,                0.88038,                0.92583,                0.71126,                0.87593,                0.87354,                0.91705,                0.64853,                0.89023,                 1.5786,                0.58422,                 1.0477,              0.0008516,              0.0008516,              0.0008516
